ISIN CODE,NAME 1,NAME 2,No,Country of Domicile
ID1000060403,PABRIK KERTAS TJIWI ,PABRIK KERTAS TJIWIKIMIA ,27,INDONESIA
ID1000108103,JASA MARGA (PERSERO) ,JASA MARGA ,28,INDONESIA
ID1000125107,KALBE FARMA TBK PT ,KALBE FARMA ,29,INDONESIA
ID1000113301,MATAHARI DEPARTMENT ,MATAHARI DEPARTMENT STORE ,30,INDONESIA
ID1000106206,MEDIA NUSAN ,MEDIA NUSNT.CITRA ,31,INDONESIA
ID1000111602,PERUSAHAAN GAS ,PERUSAHAAN GAS NEGARA ,32,INDONESIA
ID1000122500,PAKUWON JATI ,PAKUWON JATI ,33,INDONESIA
ID1000108905,LIPPO KARAWA ,LIPPO KARAWACI ,34,INDONESIA
ID1000117708,CHAROEN POKPHAND ,CHAROEN POKPHAND INDO. ,35,INDONESIA
ID1000129000,TELKOM ,TELEKOMUNIKASI INDONESIA ,36,INDONESIA
ID1000125305,SURYA CITRA MEDIA ,SURYA CITRA MEDIA ,37,INDONESIA
ID1000128804,SARANA MENARA ,SARANA MENARA NUSANTARA ,38,INDONESIA
ID1000092406,SUMMARECON AGUNG ,SUMMARECON AGUNG ,39,INDONESIA
ID1000094006,BUKIT ASAM ,BUKIT ASAM ,40,INDONESIA
ID1000116908,TOWER BERSAMA ,TOWER BERSAMA INFR. ,41,INDONESIA
ID1000095706,UNILEVER IND ,UNILEVER INDONESIA ,42,INDONESIA
ID1000058407,UNITED TRACTORS ,UNITED TRACTORS ,43,INDONESIA
ID1000126105,WASKITA KARYA ,WASKITA KARYA (PERSERO) ,44,INDONESIA
ID1000102502,PT XL AXIATA TBK ,XLSMART TELECOM ,45,INDONESIA
JP3122400009,ADVANTEST CORP ,ADVANTEST ,46,JAPAN
JP3726800000,JAPAN TOBACCO INC. ,JAPAN TOBACCO ,47,JAPAN
JP3111200006,ASAHI KASEI ,ASAHI KASEI ,48,JAPAN
JP3108060009,ACCESS CO ,ACCESS ,49,JAPAN
JP3108600002,ACOM CO LTD ,ACOM ,50,JAPAN
JP3131430005,"AEON MALL CO., LTD. ",AEON MALL ,51,JAPAN
JP3131400008,AEON FINANCIAL ,AEON FINANCIAL SERVICE ,52,JAPAN
JP3112000009,AGC INC ,AGC ,53,JAPAN
JP3105040004,AIFUL CORP ,AIFUL ,54,JAPAN
JP3119600009,AJINOMOTO CO INC ,AJINOMOTO ,55,JAPAN
JP3117700009,MEBUKI FINANCIAL ,MEBUKI FINANCIAL GROUP ,56,JAPAN
JP3126400005,ALPS ALPINE ,ALPS ALPINE ,57,JAPAN
JP3126340003,ALFRESA HOLDINGS ,ALFRESA HOLDINGS ,58,JAPAN
JP3122800000,AMADA CO LTD ,AMADA ,59,JAPAN
JP3429800000,ANA HOLDINGS INC ,ANA HOLDINGS ,60,JAPAN
JP3106200003,AOYAMA TRADING CO ,AOYAMA TRADING ,61,JAPAN
JP3711200000,AOZORA BANK LTD ,AOZORA BANK ,62,JAPAN
JP3768600003,HASEKO CORP ,HASEKO ,63,JAPAN
JP3110650003,ASAHI INTECC CO ,ASAHI INTECC ,64,JAPAN
JP3116000005,ASAHI GROUP ,ASAHI GROUP HOLDINGS ,65,JAPAN
JP3389900006,JAFCO GROUP CO LTD ,JAFCO GROUP ,66,JAPAN
JP3172500005,AUTOBACS SEVEN CO ,AUTOBACS SEVEN ,67,JAPAN
JP3659200004,NISHIMATSU CONST. CO ,NISHIMATSU CON. ,68,JAPAN
JP3937200008,AZBIL CORP ,AZBIL ,69,JAPAN
JP3830000000,BROTHER INDUSTRIES ,BROTHER INDUSTRIES ,70,JAPAN
JP3676800000,NISSHIN SEIFUN ,NISSHIN SEIFUN ,71,JAPAN
JP3161200005,EZAKI GLICO CO LTD ,EZAKI GLICO ,72,JAPAN
JP3830800003,BRIDGESTONE CORP ,BRIDGESTONE ,73,JAPAN
JP3289800009,"KOBE STEEL, LTD. ",KOBE STEEL ,74,JAPAN
JP3935600001,YAMAZAKI BAKING CO. ,YAMAZAKI BAKING ,75,JAPAN
JP3220580009,CALBEE ,CALBEE ,76,JAPAN
JP3218900003,CAPCOM CO LTD ,CAPCOM ,77,JAPAN
JP3209000003,CASIO COMPUTER CO ,CASIO COMPUTER ,78,JAPAN
JP3424950008,TOKYO CENTURY CORP ,TOKYO CENTURY ,79,JAPAN
JP3511800009,"CHIBA BANK, LTD. ",CHIBA BANK ,80,JAPAN
JP3305530002,COMSYS HOLDINGS CORP ,COMSYS HOLDINGS ,81,JAPAN
JP3409000001,SUMITOMO REALTY/DEV. ,SUMITOMO REAL.&DEV. ,83,JAPAN
JP3526600006,CHUBU ELECTRIC POWER ,CHUBU ELEC.POWER ,84,JAPAN
JP3242800005,CANON INC. ,CANON ,85,JAPAN
JP3992400006,WACOAL HOLDINGS CORP ,WACOAL HDG. ,86,JAPAN
JP3298000005,COSMO ENERGY HOLD ,COSMO ENERGY HOLDINGS ,87,JAPAN
JP3305960001,COLOPL INC ,COLOPL ,88,JAPAN
JP3165700000,NTT DATA GROUP CORP ,NTT DATA GROUP ,89,JAPAN
JP3305990008,CONCORDIA F ,CONCORDIA FINANCIAL GP. ,90,JAPAN
JP3519400000,CHUGAI PHARMAC ,CHUGAI PHARM. ,91,JAPAN
JP3249600002,KYOCERA CORPORATION ,KYOCERA ,92,JAPAN
JP3243600008,CANON MARKETING ,CANON MARKETING JAPAN ,93,JAPAN
JP3298400007,COSMOS PHARMACEUT ,COSMOS PHARM. ,94,JAPAN
JP3522200009,CHUGOKU ELECTRIC ,CHUGOKU ELEC.POWER ,95,JAPAN
JP3352400000,CITIZEN WATCH CO LTD ,CITIZEN WATCH ,96,JAPAN
JP3528600004,CHIYODA CORP ,CHIYODA CORPORATION ,97,JAPAN
JP3311400000,CYBER AGENT INC ,CYBERAGENT ,98,JAPAN
JP3475350009,DAIICHI SANKYO ,DAIICHI SANKYO ,99,JAPAN
JP3481800005,DAIKIN INDUSTRIES ,DAIKIN INDUSTRIES ,100,JAPAN
JP3440400004,DAIO PAPER CORP ,DAIO PAPER ,101,JAPAN
JP3548660004,DCM HOLDINGS ,DCM HOLDINGS ,102,JAPAN
JP3476480003,DAI-ICHI LIFE HOLD,DAI-ICHI LIFE HOLDINGS ,103,JAPAN
JP3500610005,RESONA HOLDINGS INC ,RESONA HOLDINGS ,104,JAPAN
JP3485800001,DAICEL CORP ,DAICEL ,105,JAPAN
JP3496400007,KDDI CORP ,KDDI ,106,JAPAN
JP3551500006,DENSO CORP ,DENSO ,107,JAPAN
JP3548610009,DENA CO LTD ,DENA ,108,JAPAN
JP3551520004,DENTSU GRO ,DENTSU GROUP ,109,JAPAN
JP3497400006,DAIFUKU CO LTD ,DAIFUKU ,110,JAPAN
JP3505000004,DAIWA HOUSE INDUSTRY ,DAIWA HOUSE INDUSTRY ,111,JAPAN
JP3549070005,DIGITAL GARAGE INC ,DIGITAL GARAGE ,112,JAPAN
JP3499800005,MITSUBISHI HC ,MITSUBISHI HC CAPITAL ,113,JAPAN
JP3548600000,DISCO CORPORATION ,DISCO ,114,JAPAN
JP3486800000,DAITO TRUST CONSTR. ,DAITO TST.CONSTRUCTION ,115,JAPAN
JP3491000000,DAIDO STEEL CO LTD ,DAIDO STEEL ,116,JAPAN
JP3638600001,DOWA HOLDINGS CO ,DOWA HDG. ,117,JAPAN
JP3639650005,PAN PACIFIC ,PAN PACIFIC INTERNATIONAL HOLDINGS ,118,JAPAN
JP3493800001,DAI NIPPON PRINTING ,DAI NIPPON PRINTING ,119,JAPAN
JP3495000006,SUMITOMO PHARMA ,SUMITOMO PHARMA ,120,JAPAN
JP3336600006,SUNDRUG CO LTD ,SUNDRUG ,121,JAPAN
JP3502200003,DAIWA SECURITIES ,DAIWA SECURITIES GROUP ,122,JAPAN
JP3802400006,FANUC LTD. ,FANUC ,123,JAPAN
JP3046390005,DAIWA HOUSE REIT ,DAIWA HOUSE REIT INV. ,124,JAPAN
JP3311530004,CYBERDYNE INC ,CYBERDYNE ,125,JAPAN
JP3783600004,EAST JAPAN RAILWAY ,EAST JAPAN RAILWAY ,126,JAPAN
JP3166000004,EBARA CORP ,EBARA ,127,JAPAN
JP3549600009,DENKA CO LTD ,DENKA ,128,JAPAN
JP3164470001,EDION CORP ,EDION ,129,JAPAN
JP3765400001,HOUSE SHOKUHIN ,HOUSE SHOKUHIN GP.HONSHA ,130,JAPAN
JP3297000006,"KOKUYO CO., LTD. ",KOKUYO ,131,JAPAN
JP3419400001,SEKISUI CHEMICAL CO. ,SEKISUI CHEMICAL ,132,JAPAN
JP3560800009,TOKAI CARBON CO. ,TOKAI CARBON ,133,JAPAN
JP3402600005,SUMITOMO METAL MNG. ,SUMITOMO METAL MINING ,134,JAPAN
JP3835620000,BENESSE HOLDING ,BENESSE HOLDINGS ,135,JAPAN
JP3164630000,SQUARE ENIX ,SQUARE ENIX HOLDINGS ,136,JAPAN
JP3494600004,SCREEN HOLDINGS ,SCREEN HOLDINGS ,137,JAPAN
JP3551200003,ELECTRIC POWER DEV ,ELEC.POWER DEV. ,138,JAPAN
JP3493400000,DIC CORPORATION ,DIC ,139,JAPAN
JP3160400002,EISAI CO LTD ,EISAI ,140,JAPAN
JP3118000003,ASICS CORPORATION ,ASICS ,141,JAPAN
JP3820000002,FUJI ELECTRIC ,FUJI ELECTRIC ,142,JAPAN
JP3814800003,SUBARU CORP ,SUBARU ,143,JAPAN
JP3814000000,FUJIFILM HOLDINGS ,FUJIFILM HOLDINGS ,144,JAPAN
JP3818000006,FUJITSU LIMITED ,FUJITSU ,145,JAPAN
JP3827200001,FURUKAWA ELECTRIC CO ,FURUKAWA ELECTRIC ,146,JAPAN
JP3805010000,FUKUOKA FINANCIAL ,FUKUOKA FINANCIAL GP. ,147,JAPAN
JP3816600005,FUJI SOFT INC ,FUJI SOFT ,148,JAPAN
JP3743000006,NH FOODS LTD ,NH FOODS ,149,JAPAN
JP3826800009,"FURUKAWA CO., LTD. ",FURUKAWA ,150,JAPAN
JP3274070006,GREE HOLDINGS ,GREE ,151,JAPAN
JP3811000003,FUJIKURA LTD. ,FUJIKURA ,152,JAPAN
JP3235900002,GUNGHO ONLINE ENTMT ,GUNGHO ONLINE ENTM. ,153,JAPAN
JP3274150006,SHIP HEALTHCARE ,SHIP HEALTHCARE HOLDINGS ,154,JAPAN
JP3742600004,"NHK SPRING CO., LTD. ",NHK SPRING ,155,JAPAN
JP3274400005,GLORY LTD ,GLORY ,156,JAPAN
JP3047510007,GLP TOSHI HOJIN ,GLP ,157,JAPAN
JP3276400003,GUNMA BANK LTD ,GUNMA BANK ,158,JAPAN
JP3385890003,GMO PAYMENT GATEWAY ,GMO PAYMENT GTWY. ,159,JAPAN
JP3452000007,TAIYO YUDEN CO. LTD. ,TAIYO YUDEN ,160,JAPAN
JP3385820000,GS YUASA CORP ,GS YUASA ,161,JAPAN
JP3270000007,KURITA WATER INDS. ,KURITA WATER IND. ,162,JAPAN
JP3275200008,GUNZE LTD ,GUNZE ,163,JAPAN
JP3769000005,HACHIJUNI BANK LTD ,HACHIJUNI BANK ,164,JAPAN
JP3788600009,"HITACHI, LTD. ",HITACHI ,165,JAPAN
JP3766550002,HAKUHODO DY HLDGS ,HAKUHODO DY HDG. ,166,JAPAN
JP3842400008,HOKUHOKU FIN GRP ,HOKUHOKU FINL. GP. ,167,JAPAN
JP3783420007,"HIKARI TSUSHIN, INC. ",HIKARI TSUSHIN ,168,JAPAN
JP3160740001,HIS CO LTD ,HIS ,169,JAPAN
JP3786200000,"HITACHI METALS, LTD. ",HITACHI METALS ,170,JAPAN
JP3774600005,H2O RETAILING CORP ,H2O RETAILING ,171,JAPAN
JP3774200004,HANKYU HANSHIN ,HANKYU HANSHIN HDG. ,172,JAPAN
JP3854600008,"HONDA MOTOR CO., LTD ",HONDA MOTOR ,173,JAPAN
JP3845400005,HOKURIKU ELEC. POWER ,HOKURIKU ELEC.POWER ,174,JAPAN
JP3837800006,HOYA CORP ,HOYA ,175,JAPAN
JP3796150005,HIROGIN HOLDINGS ,HIROGIN HOLDINGS ,176,JAPAN
JP3784600003,HISAMITSU PHARMA ,HISAMITSU PHARM. ,177,JAPAN
JP3845770001,HOSHIZAKI ,HOSHIZAKI ,178,JAPAN
JP3787000003,HITACHI CONSTRUCTION ,HITACHI CON.MCH. ,179,JAPAN
JP3360800001,HULIC CO ,HULIC ,180,JAPAN
JP3850200001,HOKKAIDO ELECTRIC ,HOKKAIDO ELEC.POWER ,181,JAPAN
JP3906000009,MINEBEA MITSUMI INC ,MINEBEA MITSUMI ,182,JAPAN
JP3148800000,"IBIDEN CO., LTD. ",IBIDEN ,183,JAPAN
JP3142500002,IDEMITSU KOSAN CO ,IDEMITSU KOSAN ,184,JAPAN
JP3684000007,NITTO DENKO CORP ,NITTO DENKO ,185,JAPAN
JP3134800006,IHI CORP ,IHI ,186,JAPAN
JP3131090007,IIDA GROUP ,IIDA GROUP HOLDINGS ,187,JAPAN
JP3137200006,ISUZU MOTORS LIMITED ,ISUZU MOTORS ,188,JAPAN
JP3942600002,YAMAHA CORP ,YAMAHA ,189,JAPAN
JP3294460005,INPEX CORP ,INPEX ,190,JAPAN
JP3229400001,KANSAI PAINT CO. ,KANSAI PAINT ,191,JAPAN
JP3143600009,ITOCHU CORP ,ITOCHU ,192,JAPAN
JP3152740001,ABC-MART INC,ABC ,193,JAPAN
JP3143000002,ITO EN LTD ,ITO EN ,194,JAPAN
JP3143900003,ITOCHU TECHNO-SOL,ITOCHU TECHNO-SOLUTIONS ,195,JAPAN
JP3164800009,NOK CORP ,NOK ,196,JAPAN
JP3397200001,SUZUKI MOTOR CORP ,SUZUKI MOTOR ,197,JAPAN
JP3389660006,JAPAN DIS ,JAPAN DISPLAY ,199,JAPAN
JP3705200008,JAPAN AIRLINES ,JAPAN AIRLINES ,200,JAPAN
JP3385980002,JSR CORP ,J S R ,201,JAPAN
JP3151600008,IWATANI CORP ,IWATANI ,202,JAPAN
JP3386030005,JFE HOLDINGS INC ,JFE HOLDINGS ,203,JAPAN
JP3725400000,ZEON CORP ,ZEON ,204,JAPAN
JP3667600005,JGC HOLDINGS CORP ,JGC HOLDINGS ,205,JAPAN
JP3946750001,JAPAN POST BAN ,JAPAN POST BANK ,206,JAPAN
JP3421100003,JAPAN PETROLEUM ,JAPAN PETROLEUM EXP. ,207,JAPAN
JP3752900005,JAPAN POST ,JAPAN POST HOLDINGS ,208,JAPAN
JP3233250004,JAPAN POST IN ,JAPAN POST INSURANCE ,209,JAPAN
JP3040890000,JAPAN PRIME REALTY ,JAPAN PRIME REALTY INV. ,210,JAPAN
JP3582600007,TOKYO TATEMONO CO. ,TOKYO TATEMONO ,211,JAPAN
JP3574200006,TOKYU CORPORATION ,TOKYU ,212,JAPAN
JP3566800003,CENTRAL JAPAN ,CENTRAL JAPAN RAILWAY ,213,JAPAN
JP3027680002,JAPAN REAL ESTATE ,JAPAN REAL ESTATE INV. ,214,JAPAN
JP3039710003,JAPAN METROPOL ,JAPAN METROPOLITAN FUND ,215,JAPAN
JP3896800004,MITSUBISHI GAS CHEM ,MITSUBISHI GAS CHM. ,216,JAPAN
JP3388200002,AEON CO LTD ,AEON ,217,JAPAN
JP3699400002,JAPAN AIRPORT TERM ,JAPAN AIRPORT TERM. ,218,JAPAN
JP3717600005,NIPPON SHINYAKU CO. ,NIPPON SHINYAKU ,219,JAPAN
JP3721400004,JAPAN STEEL WORKS ,JAPAN STEEL WORKS ,220,JAPAN
JP3386450005,ENEOS HOLDINGS ,ENEOS HOLDINGS ,221,JAPAN
JP3902000003,MITSUBISHI LOGISTICS ,MITSUBISHI LOGISTICS ,222,JAPAN
JP3205800000,KAO CORP ,KAO ,223,JAPAN
JP3206000006,KAKAKU.COM INC ,KAKAKU.COM ,224,JAPAN
JP3258000003,KIRIN HOLDINGS CO ,KIRIN HOLDINGS ,225,JAPAN
JP3291200008,KOBE BUSSAN CO LTD ,KOBE BUSSAN ,226,JAPAN
JP3210200006,KAJIMA CORP ,KAJIMA ,227,JAPAN
JP3228600007,KANSAI ELEC. POWER ,KANSAI ELECTRIC PWR. ,228,JAPAN
JP3279400000,KEIHAN HOLDINGS ,KEIHAN HOLDINGS ,229,JAPAN
JP3244800003,KEWPIE ,KEWPIE ,230,JAPAN
JP3236200006,KEYENCE CORP ,KEYENCE ,231,JAPAN
JP3246500007,KYUSHU FINANC ,KYUSHU FINANCIAL GP. ,232,JAPAN
JP3215800008,KANEKA CORP ,KANEKA ,233,JAPAN
JP3256000005,KYOWA KIRIN CO LTD ,KYOWA KIRIN ,234,JAPAN
JP3280200001,KEIKYU CO ,KEIKYU ,235,JAPAN
JP3695200000,"NGK INSULATORS, LTD. ",NGK INSULATORS ,236,JAPAN
JP3263000006,KINDEN CORP ,KINDEN ,237,JAPAN
JP3260800002,KINTETSU GROUP HOLD ,KINTETSU GROUP HDG. ,238,JAPAN
JP3293200006,COCA-COLA BOTTLERS,COCA-COLA BOTTLERS JAPAN ,239,JAPAN
JP3223800008,KAWASAKI KISEN ,KAWASAKI KISEN KAISHA ,240,JAPAN
JP3304200003,KOMATSU LTD. ,KOMATSU ,241,JAPAN
JP3219000001,"KAMIGUMI CO., LTD. ",KAMIGUMI ,242,JAPAN
JP3240400006,KIKKOMAN CORPORATION ,KIKKOMAN ,243,JAPAN
JP3868400007,MAZDA MOTOR CORP ,MAZDA MOTOR ,244,JAPAN
JP3301100008,KOBAYASHI PHARMA ,KOBAYASHI PHARMACEUTICAL ,245,JAPAN
JP3283460008,KOEI TECMO HOLDINGS ,KOEI TECMO HOLDINGS ,246,JAPAN
JP3305800009,KOMORI CORP ,KOMORI ,247,JAPAN
JP3300200007,KONAMI GROUP CORP ,KONAMI GROUP ,248,JAPAN
JP3300600008,KONICA MINOLTA INC ,KONICA MINOLTA ,249,JAPAN
JP3421800008,"SECOM CO., LTD. ",SECOM ,250,JAPAN
JP3247010006,KYUSHU RAILWAY CO ,KYUSHU RAILWAY ,251,JAPAN
JP3738600000,NITERRA ,NITERRA ,252,JAPAN
JP3278600006,KEISEI ELECTRIC RAIL ,KEISEI ELEC.RAILWAY ,253,JAPAN
JP3277800003,KEIO CORP ,KEIO ,254,JAPAN
JP3253900009,KYORITSU MAINTENANCE ,KYORITSU MAINTENANCE ,255,JAPAN
JP3266400005,KUBOTA CORPORATION ,KUBOTA ,256,JAPAN
JP3224200000,KAWASAKI HEAVY INDS. ,KAWASAKI HEAVY INDUSTRY ,257,JAPAN
JP3203500008,ONWARD HOLDINGS ,ONWARD HOLDINGS ,258,JAPAN
JP3979200007,LASERTEC CORPORATION ,LASERTEC ,260,JAPAN
JP3982100004,LAWSON INC ,LAWSON ,261,JAPAN
JP3965400009,LION CORPORATION ,LION ,262,JAPAN
JP3626800001,LIXIL CORP ,LIXIL ,263,JAPAN
JP3903000002,MITSUBISHI MATERIALS ,MITSUBISHI MATERIALS ,264,JAPAN
JP3733400000,NIPPON ELEC. GLASS ,NIPPON ELEC.GLASS ,265,JAPAN
JP3580200008,TOKYO SEIMITSU CO. ,TOKYO SEIMITSU ,266,JAPAN
JP3863800003,MATSUI SECURITIES ,MATSUI SECURITIES ,267,JAPAN
JP3869010003,MATSUMOTOKIYOSHI ,MATSUKIYOKARA ,268,JAPAN
JP3897700005,MITSUBISHI CHEM ,MITSUBISHI CHEMICAL ,269,JAPAN
JP3870000001,MABUCHI MOTOR CO. ,MABUCHI MOTOR ,270,JAPAN
JP3750500005,MCDONALD'S HOLDINGS ,MCDONALD'S HOLDINGS ,271,JAPAN
JP3167500002,LEOPALACE21 CORP ,LEOPALACE21 ,272,JAPAN
JP3899600005,MITSUBISHI ESTATE CO ,MITSUBISHI ESTATE ,273,JAPAN
JP3268950007,MEDIPAL HOLDINGS ,MEDIPAL HOLDINGS ,274,JAPAN
JP3919200000,MEITEC GROUP ,MEITEC GROUP HOLDINGS ,275,JAPAN
JP3918000005,MEIJI HOLDINGS ,MEIJI HOLDINGS ,276,JAPAN
JP3921290007,MERCARI INC ,MERCARI ,277,JAPAN
JP3888400003,MITSUI MINING ,MITSUI MNG.& SMELT. ,278,JAPAN
JP3900000005,MITSUBISHI HEAVY IND ,MITSUBISHI HEAVY INDS. ,279,JAPAN
JP3866800000,PANASONIC HOLDINGS ,PANASONIC HOLDINGS ,280,JAPAN
JP3893200000,MITSUI FUDOSAN CO. ,MITSUI FUDOSAN ,281,JAPAN
JP3910660004,TOKIO MARINE ,TOKIO MARINE HOLDINGS ,282,JAPAN
JP3891600003,MITSUI E&S ,MITSUI E&S ,283,JAPAN
JP3885400006,MISUMI GROUP INC ,MISUMI GROUP ,284,JAPAN
JP3902900004,MITSUBISHI UFJ FIN ,MITSUBISHI UFJ FINL.GP. ,285,JAPAN
JP3880800002,"MIURA CO., LTD. ",MIURA ,286,JAPAN
JP3882750007,"MIXI, INC ",MIXI ,287,JAPAN
JP3885780001,MIZUHO FINANCIAL GRP ,MIZUHO FINL.GP. ,288,JAPAN
JP3862400003,MAKITA CORPORATION ,MAKITA ,289,JAPAN
JP3899800001,MITSUBISHI MOTORS ,MITSUBISHI MOTORS ,290,JAPAN
JP3922950005,"MONOTARO, CO.,LTD ",MONOTARO ,291,JAPAN
JP3362700001,MITSUI OSK LINES ,MITSUI OSK LINES ,292,JAPAN
JP3877600001,MARUBENI CORP ,MARUBENI ,293,JAPAN
JP3871200006,MARUICHI STEEL TUBE ,MARUICHI STEEL TUBE ,294,JAPAN
JP3890310000,MS&AD INSURANCE ,MS&AD INSURANCE GP.HDG. ,295,JAPAN
JP3893600001,"MITSUI & CO., LTD. ",MITSUI ,296,JAPAN
JP3386380004,J FRONT RETAILIN ,J FRONT RETAILING ,297,JAPAN
JP3778630008,BANDAI NAMCO ,BANDAI NAMCO HDG. ,298,JAPAN
JP3651210001,NABTESCO CORPORATION ,NABTESCO ,299,JAPAN
JP3734800000,NIDEC CORP ,NIDEC ,300,JAPAN
JP3653000004,NANKAI ELEC. RAILWAY ,NANKAI ELEC.RY. ,301,JAPAN
JP3649800004,NAGOYA RAILROAD CO. ,NAGOYA RAILROAD ,302,JAPAN
JP3670800006,NISSAN CHEMICAL CORP ,NISSAN CHEMICAL ,303,JAPAN
JP3678000005,NISSHINBO HOLD ,NISSHINBO HOLDINGS ,304,JAPAN
JP3675600005,NISSIN FOODS HOLD ,NISSIN FOODS HOLDINGS ,305,JAPAN
JP3663900003,SOJITZ CORP ,SOJITZ ,306,JAPAN
JP3715200006,NIPPON SHOKUBAI CO. ,NIPPON SHOKUBAI ,307,JAPAN
JP3732200005,NIPPON TELEVISION ,NIPPON TELEVISION HDG. ,308,JAPAN
JP3733000008,NEC CORP ,NEC ,309,JAPAN
JP3165000005,SOMPO HOLDINGS INC ,SOMPO HOLDINGS ,310,JAPAN
JP3762600009,NOMURA HOLDINGS INC ,NOMURA HDG. ,311,JAPAN
JP3689050007,NIHON M&A CENTER ,NIHON M&A CENTER HOLDINGS ,312,JAPAN
JP3762800005,NOMURA RESEARCH ,NOMURA RESEARCH INST. ,313,JAPAN
JP3756600007,NINTENDO CO LTD ,NINTENDO ,314,JAPAN
JP3661800007,NICHICON CORP ,NICHICON ,315,JAPAN
JP3723000000,NIPPN CORP ,NIPPN ,316,JAPAN
JP3721600009,NIPPON PAPER ,NIPPON PAPER INDUSTRIES ,317,JAPAN
JP3047550003,NIPPON PROLOGIS RE ,NIPPON PROLOGIS REIT ,318,JAPAN
JP3749400002,NIPPON PAINT HOLD ,NIPPON PAINT HOLDINGS ,319,JAPAN
JP3672400003,NISSAN MOTOR CO. ,NISSAN MOTOR ,320,JAPAN
JP3762900003,NOMURA REAL ESTATE ,NOMURA RLST.HDG. ,321,JAPAN
JP3048110005,NOMURA REAL ,NOMURA RLST.MASTER FUND ,322,JAPAN
JP3673600007,NIPRO CORP ,NIPRO ,323,JAPAN
JP3720800006,NSK LTD ,NSK ,324,JAPAN
JP3381000003,NIPPON STEEL CORP ,NIPPON STEEL ,325,JAPAN
JP3165600002,NTN CORP ,NTN ,326,JAPAN
JP3756100008,NITORI HOLDINGS ,NITORI HOLDINGS ,327,JAPAN
JP3735400008,NIPPON TELEGRAPH ,NIPPON TELG. & TEL. ,328,JAPAN
JP3694400007,NIPPON KAYAKU CO. ,NIPPON KAYAKU ,329,JAPAN
JP3940400009,YAMATO KOGYO CO. ,YAMATO KOGYO ,330,JAPAN
JP3758190007,NEXON CO LTD ,NEXON ,332,JAPAN
JP3753000003,NIPPON YUSEN K.K. ,NIPPON YUSEN KK ,333,JAPAN
JP3190000004,OBAYASHI CORP ,OBAYASHI ,334,JAPAN
JP3027670003,NIPPON BUILDING FUND ,NIPPON BUILDING FUND ,335,JAPAN
JP3173400007,"OBIC CO., LTD. ",OBIC ,336,JAPAN
JP3449020001,TAIHEIYO CEMENT CORP ,TAIHEIYO CEMENT ,337,JAPAN
JP3292200007,JTEKT CORP ,JTEKT ,338,JAPAN
JP3194800003,OKUMURA CORP ,OKUMURA ,339,JAPAN
JP3940000007,YAMATO HOLDINGS CO ,YAMATO HDG. ,340,JAPAN
JP3174410005,OJI HOLDINGS ,OJI HOLDINGS ,341,JAPAN
JP3194000000,OKI ELECTRIC INDS. ,OKI ELECTRIC IND. ,342,JAPAN
JP3201200007,OLYMPUS CORP ,OLYMPUS ,343,JAPAN
