Name,2018,2019,2020,2021,2022,2023,2024,2025
ASTRA AGRO LESTARI - RETURN ON ASSETS,6.35,1.29,4.03,7.87,6.78,4.35,4.68,NA
ASTRA AGRO LESTARI - TOTAL DEBT % COMMON EQUITY,24.92,30.7,29.99,27.63,18.69,18.19,14.09,NA
ASTRA AGRO LESTARI - TOTAL DEBT % TOTAL CAPITAL/STD,19.55,23.05,22.61,21.2,15.42,15.07,12.09,NA
ASTRA AGRO LESTARI - BOOK VALUE-OUT SHARES-FISCAL,9866.34,9622.936,9743.132,10713.003,11266.259,11438.758,11763.94,NA
ASTRA AGRO LESTARI - PRICE TO BOOK VAL,1.39,1.28,0.66,0.95,1.13,0.72,0.59,0.47
ASPIRASI HIDUP - RETURN ON ASSETS,20.29,18.79,11.77,10.83,10.01,11.02,12.05,NA
ASPIRASI HIDUP - TOTAL DEBT % COMMON EQUITY,3.24,0.34,16.96,15.99,12.82,15.43,15.48,NA
ASPIRASI HIDUP - TOTAL DEBT % TOTAL CAPITAL/STD,3.13,0.34,14.47,13.72,11.29,13.28,13.34,NA
ASPIRASI HIDUP - BOOK VALUE-OUT SHARES-FISCAL,246.851,276.121,304.168,320.175,344.026,358.833,378.258,NA
ASPIRASI HIDUP - PRICE TO BOOK VAL,5.63,6.59,3.91,4.7,3.1,1.24,2.51,1.3
ALAMTRI RESOURCES - RETURN ON ASSETS,6.71,6.24,3.23,14.48,27.77,16.08,16.87,NA
ALAMTRI RESOURCES - TOTAL DEBT % COMMON EQUITY,39.21,52.45,40.63,38.85,26.27,21.25,11.77,NA
ALAMTRI RESOURCES - TOTAL DEBT % TOTAL CAPITAL/STD,24.96,32.94,27.62,26.5,19.51,16.27,9.74,NA
ALAMTRI RESOURCES - BOOK VALUE-OUT SHARES-FISCAL,1642.087,1619.665,1629.964,1888.568,3028.504,3379.252,2623.166,NA
ALAMTRI RESOURCES - PRICE TO BOOK VAL,1.3,0.8,0.64,0.64,1.04,0.9,1.03,0.65
AKR CORPORINDO - RETURN ON ASSETS,9.44,3.93,4.97,5.55,9.75,9.95,7.29,NA
AKR CORPORINDO - TOTAL DEBT % COMMON EQUITY,50.53,55.3,47.03,32.72,27.5,41.1,45.99,NA
AKR CORPORINDO - TOTAL DEBT % TOTAL CAPITAL/STD,29.88,31.41,28.05,21.3,18.65,24.79,26.66,NA
AKR CORPORINDO - BOOK VALUE-OUT SHARES-FISCAL,417.023,415.288,443.446,473.478,555.746,570.63,585.361,NA
AKR CORPORINDO - PRICE TO BOOK VAL,2.79,2.35,0.89,1.36,1.66,2.8,2.96,1.79
ASTRA INTERNATIONAL - RETURN ON ASSETS,7.63,7.31,5.61,6.33,7.96,8.59,8.21,NA
ASTRA INTERNATIONAL - TOTAL DEBT % COMMON EQUITY,62.74,62.43,51.06,42.13,36.81,46.97,47.23,NA
ASTRA INTERNATIONAL - TOTAL DEBT % TOTAL CAPITAL/STD,33.01,33.08,28.91,25.16,22.49,27.15,27.05,NA
ASTRA INTERNATIONAL - BOOK VALUE-OUT SHARES-FISCAL,3382.781,3652.026,3845.068,4249.948,4746.174,4906.684,5265.472,NA
ASTRA INTERNATIONAL - PRICE TO BOOK VAL,2.35,2.07,1.06,1.24,1.44,1.24,1,0.89
ANEKA TAMBANG TBK PT - RETURN ON ASSETS,4.16,1.21,4.6,6.27,11.87,8.43,8.65,NA
ANEKA TAMBANG TBK PT - TOTAL DEBT % COMMON EQUITY,50.26,47.19,40.72,28.87,13.3,8.64,0.31,NA
ANEKA TAMBANG TBK PT - TOTAL DEBT % TOTAL CAPITAL/STD,33.45,32.06,28.94,22.4,11.74,7.83,0.3,NA
ANEKA TAMBANG TBK PT - BOOK VALUE-OUT SHARES-FISCAL,821.414,754.591,792.294,867.1,986.737,1275.165,1309.077,NA
ANEKA TAMBANG TBK PT - PRICE TO BOOK VAL,1.05,1.19,0.66,2.7,2.67,1.65,1.28,1.29
BARITO PACIFIC - RETURN ON ASSETS,3.44,1.82,2.17,2.57,0.45,1.64,2.23,NA
BARITO PACIFIC - TOTAL DEBT % COMMON EQUITY,225.92,215.7,217.36,177.18,251.3,253.04,268.71,NA
BARITO PACIFIC - TOTAL DEBT % TOTAL CAPITAL/STD,49.55,47.92,49.39,42.06,51.62,50.96,52.58,NA
BARITO PACIFIC - BOOK VALUE-OUT SHARES-FISCAL,189.995,183.389,199.314,265.671,262.613,277.611,296.914,NA
BARITO PACIFIC - PRICE TO BOOK VAL,2.57,4.26,4.72,3.7,3.29,2.84,3.38,2.24
BANK CENTRAL ASIA - RETURN ON ASSETS,3.38,3.37,2.78,2.78,3.27,3.66,3.92,NA
BANK CENTRAL ASIA - TOTAL DEBT % COMMON EQUITY,6.18,6.33,6.8,5.95,4.53,5.47,2.94,NA
BANK CENTRAL ASIA - TOTAL DEBT % TOTAL CAPITAL/STD,5.82,5.95,6.37,5.61,4.33,5.18,2.86,NA
BANK CENTRAL ASIA - BOOK VALUE-OUT SHARES-FISCAL,1230.254,1411.826,1497.435,1644.394,1792.89,1965.98,2130.525,NA
BANK CENTRAL ASIA - PRICE TO BOOK VAL,3.79,3.89,3.74,3.77,4.31,4.49,4.61,3.88
BANK DANAMON INDO - RETURN ON ASSETS,2.99,3.08,1.07,1.29,2.11,2.11,1.93,NA
BANK DANAMON INDO - TOTAL DEBT % COMMON EQUITY,60.26,63.1,46.61,30.39,26.8,37.47,52.94,NA
BANK DANAMON INDO - TOTAL DEBT % TOTAL CAPITAL/STD,37.25,38.44,31.56,23.09,20.91,26.97,34.28,NA
BANK DANAMON INDO - BOOK VALUE-OUT SHARES-FISCAL,4310.083,4597.833,4410.659,4557.105,4792.904,5037.74,5225.084,NA
BANK DANAMON INDO - PRICE TO BOOK VAL,1.55,2.17,0.48,0.61,0.48,0.57,0.53,0.44
BANK MANDIRI - RETURN ON ASSETS,2.48,2.57,1.56,1.96,2.49,2.95,2.74,NA
BANK MANDIRI - TOTAL DEBT % COMMON EQUITY,57.69,50.94,52.95,56.89,65,77.13,108.66,NA
BANK MANDIRI - TOTAL DEBT % TOTAL CAPITAL/STD,36.11,33.27,34.07,34.4,37.18,41.17,49.59,NA
BANK MANDIRI - BOOK VALUE-OUT SHARES-FISCAL,1941.456,2192.152,2028.07,2194.736,2460.844,2794.851,3040.676,NA
BANK MANDIRI - PRICE TO BOOK VAL,2.07,1.69,1.15,1.48,1.56,1.82,2.24,1.68
BUMI RESOURCES - RETURN ON ASSETS,10.33,4.19,-3.55,10.56,16.32,0.78,1.78,NA
BUMI RESOURCES - TOTAL DEBT % COMMON EQUITY,-1033.89,-903.78,-286.9,-389.92,36.64,32.57,29.49,NA
BUMI RESOURCES - TOTAL DEBT % TOTAL CAPITAL/STD,80.21,77.45,92.83,74.35,17.03,15.34,14.22,NA
BUMI RESOURCES - BOOK VALUE-OUT SHARES-FISCAL,-43.375,-41.109,-123.266,-92.185,66.21,64.034,69.819,NA
BUMI RESOURCES - PRICE TO BOOK VAL,-6.51,-2.72,-0.41,-0.67,1,1.93,1.22,1.19
BANK NEGARA - RETURN ON ASSETS,2.39,2.25,0.52,1.28,1.99,2.24,2.24,NA
BANK NEGARA - TOTAL DEBT % COMMON EQUITY,83.75,60.47,54.53,55.52,56.72,48.52,67.12,NA
BANK NEGARA - TOTAL DEBT % TOTAL CAPITAL/STD,45.06,37.21,34.74,35.19,35.46,32.01,39.48,NA
BANK NEGARA - BOOK VALUE-OUT SHARES-FISCAL,2897.712,3284.837,2957.541,3325.515,3641.434,4034.014,4360.482,NA
BANK NEGARA - PRICE TO BOOK VAL,1.48,1.47,0.67,0.9,1.15,1.16,1.22,1.01
BANK RAKYAT INDO - RETURN ON ASSETS,3.15,3.03,1.62,2.4,3.38,3.68,3.59,NA
BANK RAKYAT INDO - TOTAL DEBT % COMMON EQUITY,76.84,79.35,86.03,57.84,54.4,57.83,63.32,NA
BANK RAKYAT INDO - TOTAL DEBT % TOTAL CAPITAL/STD,43.14,43.95,45.92,36.4,34.92,36.26,38.3,NA
BANK RAKYAT INDO - BOOK VALUE-OUT SHARES-FISCAL,1460.212,1644.599,1570.127,1905.173,1981.044,2064.507,2102.77,NA
BANK RAKYAT INDO - PRICE TO BOOK VAL,2.44,2.55,1.73,2.23,2.31,2.36,2.69,1.73
BUMI SERPONG DAMAI - RETURN ON ASSETS,4.19,7.02,2.99,4.5,6.16,4.87,7.88,NA
BUMI SERPONG DAMAI - TOTAL DEBT % COMMON EQUITY,53.46,45.99,56.84,38.13,35.61,32.45,35.38,NA
BUMI SERPONG DAMAI - TOTAL DEBT % TOTAL CAPITAL/STD,31.55,28.55,33.19,25.05,23.94,22.31,23.4,NA
BUMI SERPONG DAMAI - BOOK VALUE-OUT SHARES-FISCAL,1375.012,1535.093,1440.193,1504.089,1608.41,1743.895,1953.828,NA
BUMI SERPONG DAMAI - PRICE TO BOOK VAL,1.29,0.93,0.59,0.79,0.58,0.59,0.5,0.38
BANK TABUNGAN` - RETURN ON ASSETS,1.75,0.63,1.32,1.4,1.35,1.33,1.12,NA
BANK TABUNGAN` - TOTAL DEBT % COMMON EQUITY,180.67,225.26,249.36,202.09,165.71,168.72,150.14,NA
BANK TABUNGAN` - TOTAL DEBT % TOTAL CAPITAL/STD,64.37,69.26,71.38,66.9,62.37,62.79,60.02,NA
BANK TABUNGAN` - BOOK VALUE-OUT SHARES-FISCAL,2170.606,2170.219,1819.838,1949.016,2358.975,2171.739,2320.853,NA
BANK TABUNGAN` - PRICE TO BOOK VAL,1.63,1.04,0.49,0.86,0.69,0.57,0.65,0.38
GLOBAL ME - RETURN ON ASSETS,4.91,6.99,4.99,5.85,4.69,3.78,3.38,NA
GLOBAL ME - TOTAL DEBT % COMMON EQUITY,126.06,90.5,76.58,59.11,51.56,42.37,37.45,NA
GLOBAL ME - TOTAL DEBT % TOTAL CAPITAL/STD,45.57,36.57,31.07,25.24,22.42,19.27,17.38,NA
GLOBAL ME - BOOK VALUE-OUT SHARES-FISCAL,686.091,738.9,748.244,857.792,913.361,952.832,998.588,NA
GLOBAL ME - PRICE TO BOOK VAL,0.91,0.48,0.3,0.31,0.28,0.29,0.24,0.13
INDOFOOD CBP SUKSES - RETURN ON ASSETS,14.45,14.32,10.03,7.11,5.35,7.26,7.13,NA
INDOFOOD CBP SUKSES - TOTAL DEBT % COMMON EQUITY,9.53,9.28,107.79,123.23,125.98,107.95,100.9,NA
INDOFOOD CBP SUKSES - TOTAL DEBT % TOTAL CAPITAL/STD,8.32,8.09,38.67,43.28,44.46,41.46,40.49,NA
INDOFOOD CBP SUKSES - BOOK VALUE-OUT SHARES-FISCAL,1853.807,2169.528,2523.626,2905.348,3131.435,3494.297,3877.357,NA
INDOFOOD CBP SUKSES - PRICE TO BOOK VAL,4.53,4.17,4,3.05,2.4,2.92,2.8,2.56
SEMEN INDONESIA - RETURN ON ASSETS,7.64,7.35,5.82,3.88,4.15,3.75,1.82,NA
SEMEN INDONESIA - TOTAL DEBT % COMMON EQUITY,31.62,93.08,75.31,51.53,39.3,36.56,24.82,NA
SEMEN INDONESIA - TOTAL DEBT % TOTAL CAPITAL/STD,23.15,46.99,41.92,31.89,26.24,24.86,18.36,NA
SEMEN INDONESIA - BOOK VALUE-OUT SHARES-FISCAL,5244.112,5426.481,5745.342,6078.419,6331.624,6407.648,6483.19,NA
SEMEN INDONESIA - PRICE TO BOOK VAL,1.95,2.51,1.41,1.7,1,0.96,0.87,0.33
GUDANG GARAM TBK - RETURN ON ASSETS,12.23,15.35,10.16,6.75,3.34,6.39,1.51,NA
