Category,Obs.
Full sample,8300.0
Across countries,
Japan,3452.0
Taiwan,1087.0
Hong Kong,1026.0
South Korea,917.0
Thailand,527.0
Malaysia,420.0
Singapore,366.0
Indonesia,317.0
Philippines,188.0
Across industries,
Automobiles and Parts,349.0
Banks,5.0
Basic Resources,358.0
Chemical ,421.0
Construction and Materials,375.0
Consumer Products and Services,430.0
Energy,296.0
Financial Services,231.0
"Food, Beverage and Tobacco",561.0
Health Care,406.0
Imsurance,162.0
Industrial Goods and Services,1391.0
Media,88.0
"Personal Care, Drug and Grocery Stores",126.0
Real Estate,749.0
Retail,298.0
Technology,1029.0
Telecommunications,319.0
Travel and Leisure,244.0
Utilities,392.0
Other,70.0
Across years,
2015.0,905.0
2016.0,914.0
2017.0,921.0
2018.0,934.0
2019.0,963.0
2020.0,967.0
2021.0,980.0
2022.0,976.0
2023.0,740.0
