Variable,Outcome,Type,基準模型（中位數切點）,改進模型1（75百分位切點）,改進模型2（Caliper匹配）,改進模型3（1:2匹配）
Family,GAP,Coefficient,-0.0036,-0.0005,-0.0030,-0.0063
Family,GAP,t-value,(-0.86),(-0.12),(-0.66),(-1.61)
Family,GAP_E,Coefficient,-0.0140***,-0.0092*,-0.0118**,-0.0222***
Family,GAP_E,t-value,(-2.68),(-1.66),(-2.09),(-4.51)
Family,GAP_S,Coefficient,0.0071,0.0084*,0.0063,0.0099**
Family,GAP_S,t-value,(1.61),(1.81),(1.33),(2.42)
G,GAP,Coefficient,-0.0040***,-0.0039***,-0.0038***,-0.0038***
G,GAP,t-value,(-34.60),(-31.48),(-30.27),(-34.94)
G,GAP_E,Coefficient,-0.0035***,-0.0034***,-0.0033***,-0.0032***
G,GAP_E,t-value,(-25.45),(-23.15),(-21.97),(-24.52)
G,GAP_S,Coefficient,-0.0045***,-0.0044***,-0.0043***,-0.0044***
G,GAP_S,t-value,(-39.74),(-36.37),(-35.26),(-42.20)
Size,GAP,Coefficient,-0.0135***,-0.0137***,-0.0126***,-0.0134***
Size,GAP,t-value,(-6.75),(-6.30),(-5.69),(-7.31)
Size,GAP_E,Coefficient,-0.0095***,-0.0083***,-0.0071***,-0.0073***
Size,GAP_E,t-value,(-3.97),(-3.19),(-2.64),(-3.27)
Size,GAP_S,Coefficient,-0.0174***,-0.0189***,-0.0181***,-0.0194***
Size,GAP_S,t-value,(-8.26),(-8.27),(-7.75),(-10.06)
Lev,GAP,Coefficient,0.0009,0.0008**,0.0007*,0.0008*
Lev,GAP,t-value,(1.14),(2.01),(1.76),(1.94)
Lev,GAP_E,Coefficient,0.0008,0.0007*,0.0005,0.0005
Lev,GAP_E,t-value,(1.01),(1.69),(1.33),(1.16)
Lev,GAP_S,Coefficient,0.0009,0.0009**,0.0008**,0.0011**
Lev,GAP_S,t-value,(1.27),(2.17),(2.04),(2.56)
ROA,GAP,Coefficient,0.0533*,0.0778**,0.0512,0.0557**
ROA,GAP,t-value,(1.79),(2.19),(1.43),(1.97)
ROA,GAP_E,Coefficient,0.0896***,0.1302***,0.0929**,0.0794**
ROA,GAP_E,t-value,(2.61),(3.17),(2.23),(2.33)
ROA,GAP_S,Coefficient,0.0174,0.0258,0.0098,0.0320
ROA,GAP_S,t-value,(0.49),(0.60),(0.23),(0.94)
MTB,GAP,Coefficient,-0.0611,-0.1653***,-0.1437***,-0.1652***
MTB,GAP,t-value,(-0.94),(-4.09),(-3.51),(-4.14)
MTB,GAP_E,Coefficient,-0.0369,-0.1450***,-0.1135***,-0.1016**
MTB,GAP_E,t-value,(-0.51),(-3.33),(-2.58),(-2.39)
MTB,GAP_S,Coefficient,-0.0863,-0.1847***,-0.1734***,-0.2306***
MTB,GAP_S,t-value,(-1.43),(-3.80),(-3.51),(-5.00)
KZ,GAP,Coefficient,-0.0012*,-0.0013**,-0.0014**,-0.0015***
KZ,GAP,t-value,(-1.92),(-2.14),(-2.26),(-2.98)
KZ,GAP_E,Coefficient,-0.0043***,-0.0045***,-0.0046***,-0.0047***
KZ,GAP_E,t-value,(-5.81),(-6.06),(-6.09),(-7.56)
KZ,GAP_S,Coefficient,0.0019***,0.0019***,0.0018***,0.0017***
KZ,GAP_S,t-value,(3.04),(3.04),(2.87),(3.19)
Board Size,GAP,Coefficient,-0.0073***,-0.0064***,-0.0063***,-0.0065***
Board Size,GAP,t-value,(-12.79),(-9.24),(-9.13),(-11.11)
Board Size,GAP_E,Coefficient,-0.0071***,-0.0055***,-0.0053***,-0.0055***
Board Size,GAP_E,t-value,(-9.72),(-6.10),(-5.86),(-7.18)
Board Size,GAP_S,Coefficient,-0.0075***,-0.0073***,-0.0074***,-0.0075***
Board Size,GAP_S,t-value,(-12.85),(-10.85),(-10.94),(-13.14)
CEO Duality,GAP,Coefficient,-0.0038,-0.0003,-0.0036,-0.0084*
CEO Duality,GAP,t-value,(-0.70),(-0.05),(-0.62),(-1.65)
CEO Duality,GAP_E,Coefficient,0.0030,0.0059,0.0019,0.0001
CEO Duality,GAP_E,t-value,(0.46),(0.84),(0.26),(0.01)
CEO Duality,GAP_S,Coefficient,-0.0102*,-0.0060,-0.0087,-0.0163***
CEO Duality,GAP_S,t-value,(-1.75),(-0.97),(-1.37),(-3.03)
CSR Committee,GAP,Coefficient,-0.0541***,-0.0521***,-0.0499***,-0.0549***
CSR Committee,GAP,t-value,(-9.91),(-9.35),(-8.84),(-11.15)
CSR Committee,GAP_E,Coefficient,-0.0189***,-0.0166**,-0.0139**,-0.0222***
CSR Committee,GAP_E,t-value,(-2.80),(-2.40),(-1.98),(-3.65)
CSR Committee,GAP_S,Coefficient,-0.0895***,-0.0876***,-0.0860***,-0.0877***
CSR Committee,GAP_S,t-value,(-16.37),(-15.63),(-15.12),(-17.61)
