Category,Obs.
Full sample,7981.0
Across countries,
Japan,3331.0
Taiwan,1029.0
Hong Kong,971.0
South Korea,866.0
Thailand,481.0
Malaysia,443.0
Singapore,382.0
Indonesia,294.0
Philippines,184.0
Across industries,
Industrial Goods and Services,1373.0
Technology,973.0
Real Estate,727.0
"Food, Beverage and Tobacco",535.0
Chemical ,407.0
Consumer Products and Services,400.0
Utilities,390.0
Health Care,373.0
Construction and Materials,367.0
Automobiles and Parts,344.0
Basic Resources,336.0
Telecommunications,299.0
Energy,293.0
Retail,272.0
Travel and Leisure,248.0
Financial Services,216.0
Imsurance,156.0
"Personal Care, Drug and Grocery Stores",113.0
Media,87.0
Other,67.0
Banks,5.0
Across years,
2015.0,736.0
2016.0,771.0
2017.0,815.0
2018.0,955.0
2019.0,984.0
2020.0,982.0
2021.0,994.0
2022.0,990.0
2023.0,754.0
